domain,threat_score
,1
www.garage-pirenne.be,1
adventure-nicaragua.net,1
buzzfil.net,1
www.pashminaonline.com,1
www.ikenmijnkunst.nl,1
www.lebensmittel-ueberwachung.de,1
www.szabadmunkaero.hu,1
larcadelcarnevale.com,1
www.vnic.co,1
hollywoodlife.com,1
www.marketingbyinternet.com,1
peluqueriadeautor.com,1
www.824555.com,1
www.raci.it,1
docs.google.com,1
earth-sure.com,1
interpark.com,1
www.newtec.ac.uk,1
www.kingsmillshotel.com,1
www.approvi.com.br,1
www.shaborooz.ir,1
www.juventudelirica.com.br,1
www.myenrg.com,1
www.musimagen.com,1
www.pn-wuppertal.de,1
asociacionkaribu.org,1
www.martin-busker.de,1
www.parafiapiaski.pl,1
fanpage.gr,1
worldoftanks.ru,1
www.artedesignsas.it,1
serverfault.com,1
www.viamanaus.com.br,1
www.protect-effect.nl,1
www.gst-ukraine.com.ua,1
www.bimabn.com,1
www.bg-ricevimenti.it,1
icicibank.com,1
9779.info,1
www.boeuf-soufflenheim.com,1
www.trenker-bestattungen.de,1
motthegioi.vn,1
twitter.com,1
correios.com.br,1
olx.ro,1
www.aba-diagnostic.com,1
www.paoarapanui.cl,1
www.designeremdoces.com,1
slashdot.org,1
www.tiendagnulinux.com.ar,1
chelurao.ru,1
qz.com,1
mylust.com,1
www.familienbund.org,1
www.vanoorschotkranen.nl,1
www.academiedumeuble.ca,1
maslen.sk,1
www.clinicatecma.es,1
mic.com,1
drive-google-com.fanalav.com,1
www.perthshire-caravans.co.uk,1
rendeck.com,1
listovka.info,1
skyrock.com,1
www.jnpiraq.net,1
www.versverwerktegroenten.nl,1
grantland.com,1
thenextweb.com,1
ecoledecoiffurecarolinelaprise.com,1
chinacxyy.com,1
www.smc-images.co.uk,1
www.nabu-gaildorf.de,1
kccs.nichost.ru,1
www.nubiafarias.com,1
www.elektro-vozila.si,1
sexshop-bg.biz,1
mueblesjulianjimenez.es,1
fischereiverein.org,1
www.expatsalon.ru,1
apoiojur.com.br,1
www.steffen-lemme.de,1
djsipke.nl,1
www.harley-davidson-dijon.com,1
www.smartphone.net.br,1
www.annamodlo.com.ua,1
codecanyon.net,1
www.aquamarinadivingtenerife.com,1
www.lafavoritacb.com,1
www.sidecocarrelli.it,1
www.metalsul.ind.br,1
otomoto.pl,1
portal.dddgaming.com,1
www.school91.kiev.ua,1
djkatrina.ru,1
yourlust.com,1
szgs.ru,1
www.sandroecicero.com.br,1
noticias.uol.com.br,1
kienthuc.net.vn,1
pikabu.ru,1
www.ekino-neureut.de,1
www.rockabilly.it,1
www.rathgaelgym.org,1
extratorrent.cc,1
www.graz4u.at,1
www.richpictures.co.uk,1
www.simmeurope.com,1
spplodz.nazwa.pl,1
www.bertilohlsson.com,1
www.besztercekk.hu,1
gizmodo.com,1
www.manganellipalace.it,1
uproxx.com,1
web.tv,1
www.sikobv.eu,1
midas-medical.com,1
www.kommunalbit.de,1
www.galerie-unterm-maulbeerbaum.de,1
fb.com.accounts.login.userid.343441.fbsbk.com,1
www.smos.cn,1
www.nissad.com,1
www.whitminsterinn.co.uk,1
rt.com,1
grasslandhotel.com.vn,1
torcache.net,1
totallifechurchjax.com,1
www.dolcevino.it,1
danielfabri.com.ar,1
elitedaily.com,1
bjgdhm.com,1
www.suiteorchestra.it,1
icomtec.com.my,1
www.qrscelltech.com,1
www.identcode.cz,1
medium.com,1
style.org.hc360.com,1
www.cannonvaleautopro.com.au,1
www.naylorantiques.com,1
diddydeshi.com,1
babal.net,1
zozo.jp,1
pastehtml.com,1
img14.360buyimg.com,1
www.natureevent.dk,1
sladkiybuket.net,1
www.sklep-splawik.pl,1
www.latablepaysanne.fr,1
www.lescoulissesdetanger.com,1
www.akmediaproductions.ca,1
annviviskennel.net,1
www.mo-priv.ru,1
www.dtcbv.nl,1
www.real-house.nl,1
www.ondrejov.cz,1
engine32truck16.com,1
onlineigri.net,1
www.vilagnomad.com,1
r-tuning.com.ua,1
mixi.jp,1
svadebny.com,1
www.ksra.ca,1
distractify.com,1
kakaku.com,1
www.daytonaelectronics.co.za,1
www.ijsbaanapeldoorn.nl,1
www.easylivinggreenproducts.com.au,1
sfhhz.com,1
www.tvsk.com.au,1
www.botoxina.com,1
zshsq.com,1
www.sanpedrolee.com.ar,1
www.beriva.lt,1
dienlanhvn.com,1
